I10 Dx	MDC	DRG(s)	ICD-10-CM Description
A249	18	867-869	"Melioidosis, unspecified"
A250	18	867-869	Spirillosis
A251	18	867-869	Streptobacillosis
A259	18	867-869	"Rat-bite fever, unspecified"
A260	18	867-869	Cutaneous erysipeloid
A267	18	870-872	Erysipelothrix sepsis
A268	18	867-869	Other forms of erysipeloid
A269	18	867-869	"Erysipeloid, unspecified"
A270	18	867-869	Leptospirosis icterohemorrhagica
A2781	1	023-027	Aseptic meningitis in leptospirosis
	1	097-099	
A2789	1	023-027	Other forms of leptospirosis
	1	097-099	
A279	18	867-869	"Leptospirosis, unspecified"
A280	18	867-869	Pasteurellosis
A281	16	814-816	Cat-scratch disease
A282	18	867-869	Extraintestinal yersiniosis
A288	18	867-869	"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289	18	867-869	"Zoonotic bacterial disease, unspecified"
A300	18	867-869	Indeterminate leprosy
A301	18	867-869	Tuberculoid leprosy
A302	18	867-869	Borderline tuberculoid leprosy
A303	18	867-869	Borderline leprosy
A304	18	867-869	Borderline lepromatous leprosy
A305	18	867-869	Lepromatous leprosy
A308	18	867-869	Other forms of leprosy
A309	18	867-869	"Leprosy, unspecified"
A310	4	177-179	Pulmonary mycobacterial infection
A311	9	606-607	Cutaneous mycobacterial infection
A312	18	867-869	Disseminated mycobacterium avium-intracellulare complex (DMAC)
	25	974-976	
A318	18	867-869	Other mycobacterial infections
	25	974-976	
A319	18	867-869	"Mycobacterial infection, unspecified"
	25	974-976	
A320	18	867-869	Cutaneous listeriosis
A3211	18	867-869	Listerial meningitis
A3212	18	867-869	Listerial meningoencephalitis
A327	18	870-872	Listerial sepsis
A3281	18	867-869	Oculoglandular listeriosis
A3282	18	867-869	Listerial endocarditis
A3289	18	867-869	Other forms of listeriosis
A329	18	867-869	"Listeriosis, unspecified"
A33	15	794	Tetanus neonatorum
A34	14	769	Obstetrical tetanus
	14	776	
A35	15	793	Other tetanus
	18	867-869	
A360	Pre	011-013	Pharyngeal diphtheria
	3	154-156	
A361	Pre	011-013	Nasopharyngeal diphtheria
	3	154-156	
A362	Pre	011-013	Laryngeal diphtheria
	3	154-156	
A363	9	606-607	Cutaneous diphtheria
A3681	5	314-316	Diphtheritic cardiomyopathy
A3682	18	867-869	Diphtheritic radiculomyelitis
A3683	18	867-869	Diphtheritic polyneuritis
A3684	18	867-869	Diphtheritic tubulo-interstitial nephropathy
A3685	11	689-690	Diphtheritic cystitis
A3686	2	124-125	Diphtheritic conjunctivitis
A3689	18	867-869	Other diphtheritic complications
A369	18	867-869	"Diphtheria, unspecified"
A3700	4	202-203	Whooping cough due to Bordetella pertussis without pneumonia
A3701	4	202-203	Whooping cough due to Bordetella pertussis with pneumonia
A3710	4	202-203	Whooping cough due to Bordetella parapertussis without pneumonia
A3711	4	202-203	Whooping cough due to Bordetella parapertussis with pneumonia
A3780	4	202-203	Whooping cough due to other Bordetella species without pneumonia
A3781	4	202-203	Whooping cough due to other Bordetella species with pneumonia
A3790	4	202-203	"Whooping cough, unspecified species without pneumonia"
A3791	4	202-203	"Whooping cough, unspecified species with pneumonia"
A380	18	867-869	Scarlet fever with otitis media
A381	18	867-869	Scarlet fever with myocarditis
A388	18	867-869	Scarlet fever with other complications
A389	18	867-869	"Scarlet fever, uncomplicated"
A390	1	023-027	Meningococcal meningitis
	1	094-096	
A391	15	793	Waterhouse-Friderichsen syndrome
	18	870-872	
A392	18	870-872	Acute meningococcemia
A393	18	870-872	Chronic meningococcemia
A394	18	870-872	"Meningococcemia, unspecified"
A3950	5	314-316	"Meningococcal carditis, unspecified"
	15	793	
A3951	5	288-290	Meningococcal endocarditis
	15	793	
A3952	5	314-316	Meningococcal myocarditis
	15	793	
A3953	5	314-316	Meningococcal pericarditis
	15	793	
A3981	1	023-027	Meningococcal encephalitis
	1	094-096	
A3982	2	123	Meningococcal retrobulbar neuritis
	15	793	
A3983	8	548-550	Meningococcal arthritis
	15	793	
A3984	8	548-550	Postmeningococcal arthritis
	15	793	
A3989	18	870-872	Other meningococcal infections
A399	18	870-872	"Meningococcal infection, unspecified"
A400	18	870-872	"Sepsis due to streptococcus, group A"
A401	18	870-872	"Sepsis due to streptococcus, group B"
A403	18	870-872	Sepsis due to Streptococcus pneumoniae
A408	18	870-872	Other streptococcal sepsis
A409	15	793	"Streptococcal sepsis, unspecified"
	18	870-872	
	25	974-976	
A4101	15	793	Sepsis due to Methicillin susceptible Staphylococcus aureus
	18	870-872	
	25	974-976	
A4102	15	793	Sepsis due to Methicillin resistant Staphylococcus aureus
	18	870-872	
	25	974-976	
A411	15	793	Sepsis due to other specified staphylococcus
	18	870-872	
	25	974-976	
A412	15	793	Sepsis due to unspecified staphylococcus
	18	870-872	
	25	974-976	
A413	15	793	Sepsis due to Hemophilus influenzae
	18	870-872	
	25	974-976	
A414	15	793	Sepsis due to anaerobes
	18	870-872	
	25	974-976	
A4150	15	793	"Gram-negative sepsis, unspecified"
	18	870-872	
	25	974-976	
A4151	15	793	Sepsis due to Escherichia coli [E. coli]
	18	870-872	
	25	974-976	
A4152	15	793	Sepsis due to Pseudomonas
	18	870-872	
	25	974-976	
A4153	15	793	Sepsis due to Serratia
	18	870-872	
	25	974-976	
A4159	15	793	Other Gram-negative sepsis
	18	870-872	
	25	974-976	
A4181	15	793	Sepsis due to Enterococcus
	18	870-872	
	25	974-976	
A4189	15	793	Other specified sepsis
	18	870-872	
	25	974-976	
A419	15	793	"Sepsis, unspecified organism"
	18	870-872	
	25	974-976	
A420	4	177-179	Pulmonary actinomycosis
	25	974-976	
A421	6	371-373	Abdominal actinomycosis
	25	974-976	
A422	9	606-607	Cervicofacial actinomycosis
	25	974-976	
A427	15	793	Actinomycotic sepsis
	18	870-872	
	25	974-976	
A4281	18	867-869	Actinomycotic meningitis
	25	974-976	
A4282	18	867-869	Actinomycotic encephalitis
	25	974-976	
A4289	18	867-869	Other forms of actinomycosis
	25	974-976	
A429	18	867-869	"Actinomycosis, unspecified"
	25	974-976	
A430	4	177-179	Pulmonary nocardiosis
	25	974-976	
A431	9	606-607	Cutaneous nocardiosis
	25	974-976	
A438	18	867-869	Other forms of nocardiosis
	25	974-976	
A439	18	867-869	"Nocardiosis, unspecified"
	25	974-976	
A440	18	867-869	Systemic bartonellosis
A441	18	867-869	Cutaneous and mucocutaneous bartonellosis
A448	18	867-869	Other forms of bartonellosis
A449	18	867-869	"Bartonellosis, unspecified"
A46	9	602-603	Erysipelas
A480	15	793	Gas gangrene
	18	867-869	
A481	4	177-179	Legionnaires' disease
	15	793	
	25	974-976	
A482	18	867-869	Nonpneumonic Legionnaires' disease [Pontiac fever]
A483	18	867-869	Toxic shock syndrome
A484	18	867-869	Brazilian purpuric fever
A4851	15	793	Infant botulism
	18	867-869	
A4852	18	867-869	Wound botulism
A488	18	867-869	Other specified bacterial diseases
A4901	18	867-869	"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A4902	18	867-869	"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A491	18	867-869	"Streptococcal infection, unspecified site"
A492	18	867-869	"Hemophilus influenzae infection, unspecified site"
A493	18	867-869	"Mycoplasma infection, unspecified site"
A498	18	867-869	Other bacterial infections of unspecified site
A499	18	867-869	"Bacterial infection, unspecified"
A5001	18	867-869	Early congenital syphilitic oculopathy
A5002	18	867-869	Early congenital syphilitic osteochondropathy
A5003	18	867-869	Early congenital syphilitic pharyngitis
A5004	18	867-869	Early congenital syphilitic pneumonia
A5005	18	867-869	Early congenital syphilitic rhinitis
A5006	18	867-869	Early cutaneous congenital syphilis
A5007	18	867-869	Early mucocutaneous congenital syphilis
A5008	18	867-869	Early visceral congenital syphilis
A5009	18	867-869	"Other early congenital syphilis, symptomatic"
A501	18	867-869	"Early congenital syphilis, latent"
A502	18	867-869	"Early congenital syphilis, unspecified"
A5030	18	867-869	"Late congenital syphilitic oculopathy, unspecified"
A5031	2	124-125	Late congenital syphilitic interstitial keratitis
A5032	18	867-869	Late congenital syphilitic chorioretinitis
A5039	18	867-869	Other late congenital syphilitic oculopathy
A5040	1	097-099	"Late congenital neurosyphilis, unspecified"
A5041	1	097-099	Late congenital syphilitic meningitis
A5042	1	097-099	Late congenital syphilitic encephalitis
A5043	1	097-099	Late congenital syphilitic polyneuropathy
A5044	18	867-869	Late congenital syphilitic optic nerve atrophy
A5045	1	097-099	Juvenile general paresis
A5049	1	097-099	Other late congenital neurosyphilis
A5051	18	867-869	Clutton's joints
A5052	18	867-869	Hutchinson's teeth
A5053	18	867-869	Hutchinson's triad
A5054	18	867-869	Late congenital cardiovascular syphilis
A5055	18	867-869	Late congenital syphilitic arthropathy
A5056	18	867-869	Late congenital syphilitic osteochondropathy
A5057	18	867-869	Syphilitic saddle nose
A5059	18	867-869	"Other late congenital syphilis, symptomatic"
A506	18	867-869	"Late congenital syphilis, latent"
A507	18	867-869	"Late congenital syphilis, unspecified"
A509	18	867-869	"Congenital syphilis, unspecified"
A510	12	727-728	Primary genital syphilis
	13	742-743	
	13	757-759	
A511	6	393-395	Primary anal syphilis
A512	18	867-869	Primary syphilis of other sites
A5131	9	606-607	Condyloma latum
A5132	9	606-607	Syphilitic alopecia
A5139	9	606-607	Other secondary syphilis of skin
A5141	1	023-027	Secondary syphilitic meningitis
	1	097-099	
A5142	18	867-869	Secondary syphilitic female pelvic disease
A5143	2	124-125	Secondary syphilitic oculopathy
A5144	18	867-869	Secondary syphilitic nephritis
A5145	7	441-443	Secondary syphilitic hepatitis
A5146	8	539-541	Secondary syphilitic osteopathy
A5149	18	867-869	Other secondary syphilitic conditions
A515	18	867-869	"Early syphilis, latent"
A519	18	867-869	"Early syphilis, unspecified"
A5200	5	314-316	"Cardiovascular syphilis, unspecified"
A5201	5	306-307	Syphilitic aneurysm of aorta
A5202	5	306-307	Syphilitic aortitis
A5203	5	288-290	Syphilitic endocarditis
A5204	5	314-316	Syphilitic cerebral arteritis
A5205	5	314-316	Other cerebrovascular syphilis
A5206	5	314-316	Other syphilitic heart involvement
A5209	5	314-316	Other cardiovascular syphilis
A5210	1	056-057	"Symptomatic neurosyphilis, unspecified"
A5211	1	056-057	Tabes dorsalis
A5212	1	056-057	Other cerebrospinal syphilis
A5213	1	023-027	Late syphilitic meningitis
	1	097-099	
A5214	1	023-027	Late syphilitic encephalitis
	1	097-099	
A5215	1	056-057	Late syphilitic neuropathy
A5216	1	056-057	Charcôt's arthropathy (tabetic)
A5217	1	056-057	General paresis
A5219	1	056-057	Other symptomatic neurosyphilis
A522	1	097-099	Asymptomatic neurosyphilis
A523	1	056-057	"Neurosyphilis, unspecified"
A5271	2	124-125	Late syphilitic oculopathy
A5272	4	177-179	Syphilis of lung and bronchus
A5273	18	867-869	Symptomatic late syphilis of other respiratory organs
A5274	7	441-443	Syphilis of liver and other viscera
A5275	11	689-690	Syphilis of kidney and ureter
A5276	18	867-869	Other genitourinary symptomatic late syphilis
A5277	8	539-541	Syphilis of bone and joint
A5278	8	557-558	Syphilis of other musculoskeletal tissue
A5279	18	867-869	Other symptomatic late syphilis
A528	18	867-869	"Late syphilis, latent"
A529	18	867-869	"Late syphilis, unspecified"
A530	18	867-869	"Latent syphilis, unspecified as early or late"
A539	18	867-869	"Syphilis, unspecified"
A5400	12	727-728	"Gonococcal infection of lower genitourinary tract, unspecified"
	13	742-743	
	13	757-759	
A5401	11	689-690	"Gonococcal cystitis and urethritis, unspecified"
A5402	13	742-743	"Gonococcal vulvovaginitis, unspecified"
	13	757-759	
A5403	13	742-743	"Gonococcal cervicitis, unspecified"
	13	757-759	
A5409	12	727-728	Other gonococcal infection of lower genitourinary tract
	13	742-743	
	13	757-759	
A541	12	727-728	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
	13	742-743	
	13	757-759	
A5421	12	727-728	Gonococcal infection of kidney and ureter
	13	742-743	
	13	757-759	
A5422	12	727-728	Gonococcal prostatitis
A5423	12	727-728	Gonococcal infection of other male genital organs
A5424	13	742-743	Gonococcal female pelvic inflammatory disease
	13	757-759	
A5429	12	727-728	Other gonococcal genitourinary infections
	13	742-743	
	13	757-759	
A5430	2	124-125	"Gonococcal infection of eye, unspecified"
A5431	2	124-125	Gonococcal conjunctivitis
A5432	2	124-125	Gonococcal iridocyclitis
A5433	2	124-125	Gonococcal keratitis
A5439	2	124-125	Other gonococcal eye infection
A5440	8	548-550	"Gonococcal infection of musculoskeletal system, unspecified"
A5441	8	539-541	Gonococcal spondylopathy
A5442	8	548-550	Gonococcal arthritis
A5443	8	548-550	Gonococcal osteomyelitis
A5449	8	548-550	Gonococcal infection of other musculoskeletal tissue
A545	Pre	011-013	Gonococcal pharyngitis
	3	152-153	
A546	6	393-395	Gonococcal infection of anus and rectum
A5481	1	023-027	Gonococcal meningitis
	1	094-096	
A5482	18	867-869	Gonococcal brain abscess
A5483	5	314-316	Gonococcal heart infection
A5484	18	867-869	Gonococcal pneumonia
A5485	6	371-373	Gonococcal peritonitis
A5486	18	870-872	Gonococcal sepsis
A5489	18	867-869	Other gonococcal infections
A549	18	867-869	"Gonococcal infection, unspecified"
A55	12	727-728	Chlamydial lymphogranuloma (venereum)
	13	742-743	
	13	757-759	
A5600	12	727-728	"Chlamydial infection of lower genitourinary tract, unspecified"
	13	742-743	
	13	757-759	
A5601	12	727-728	Chlamydial cystitis and urethritis
	13	742-743	
	13	757-759	
A5602	13	742-743	Chlamydial vulvovaginitis
	13	757-759	
A5609	12	727-728	Other chlamydial infection of lower genitourinary tract
	13	742-743	
	13	757-759	
A5611	11	689-690	Chlamydial female pelvic inflammatory disease
A5619	11	689-690	Other chlamydial genitourinary infection
A562	12	727-728	"Chlamydial infection of genitourinary tract, unspecified"
	13	742-743	
	13	757-759	
A563	6	393-395	Chlamydial infection of anus and rectum
A564	Pre	011-013	Chlamydial infection of pharynx
	3	152-153	
A568	12	727-728	Sexually transmitted chlamydial infection of other sites
	13	742-743	
	13	757-759	
A57	12	727-728	Chancroid
	13	742-743	
	13	757-759	
A58	12	727-728	Granuloma inguinale
	13	742-743	
	13	757-759	
A5900	12	727-728	"Urogenital trichomoniasis, unspecified"
	13	742-743	
	13	757-759	
A5901	13	742-743	Trichomonal vulvovaginitis
	13	757-759	
A5902	12	727-728	Trichomonal prostatitis
A5903	12	727-728	Trichomonal cystitis and urethritis
	13	742-743	
	13	757-759	
A5909	12	727-728	Other urogenital trichomoniasis
	13	742-743	
	13	757-759	
A598	18	867-869	Trichomoniasis of other sites
A599	18	867-869	"Trichomoniasis, unspecified"
A6000	12	727-728	"Herpesviral infection of urogenital system, unspecified"
	13	742-743	
	13	757-759	
	25	974-976	
A6001	12	727-728	Herpesviral infection of penis
	25	974-976	
A6002	12	727-728	Herpesviral infection of other male genital organs
A6003	13	742-743	Herpesviral cervicitis
	13	757-759	
A6004	13	742-743	Herpesviral vulvovaginitis
	13	757-759	
	25	974-976	
A6009	12	727-728	Herpesviral infection of other urogenital tract
	13	742-743	
	13	757-759	
	25	974-976	
A601	12	727-728	Herpesviral infection of perianal skin and rectum
	13	742-743	
	13	757-759	
	25	974-976	
A609	12	727-728	"Anogenital herpesviral infection, unspecified"
	13	742-743	
	13	757-759	
	25	974-976	
A630	9	606-607	Anogenital (venereal) warts
A638	12	727-728	Other specified predominantly sexually transmitted diseases
	13	742-743	
	13	757-759	
A64	12	727-728	Unspecified sexually transmitted disease
	13	742-743	
	13	757-759	
A65	18	867-869	Nonvenereal syphilis
A660	9	606-607	Initial lesions of yaws
A661	9	606-607	Multiple papillomata and wet crab yaws
A662	9	606-607	Other early skin lesions of yaws
A663	9	606-607	Hyperkeratosis of yaws
A664	9	606-607	Gummata and ulcers of yaws
A665	Pre	011-013	Gangosa
	3	154-156	
A666	8	548-550	Bone and joint lesions of yaws
A667	18	867-869	Other manifestations of yaws
A668	18	867-869	Latent yaws
A669	18	867-869	"Yaws, unspecified"
A670	9	606-607	Primary lesions of pinta
A671	9	606-607	Intermediate lesions of pinta
A672	18	867-869	Late lesions of pinta
A673	9	606-607	Mixed lesions of pinta
A679	18	867-869	"Pinta, unspecified"
A680	18	867-869	Louse-borne relapsing fever
A681	18	867-869	Tick-borne relapsing fever
A689	18	867-869	"Relapsing fever, unspecified"
A690	Pre	011-013	Necrotizing ulcerative stomatitis
	3	157-159	
A691	Pre	011-013	Other Vincent's infections
	3	152-153	
A6920	18	867-869	"Lyme disease, unspecified"
A6921	18	867-869	Meningitis due to Lyme disease
A6922	18	867-869	Other neurologic disorders in Lyme disease
A6923	18	867-869	Arthritis due to Lyme disease
A6929	18	867-869	Other conditions associated with Lyme disease
A698	18	867-869	Other specified spirochetal infections
A699	18	867-869	"Spirochetal infection, unspecified"
A70	18	865-866	Chlamydia psittaci infections
A710	2	124-125	Initial stage of trachoma
A711	2	124-125	Active stage of trachoma
A719	2	124-125	"Trachoma, unspecified"
A740	2	124-125	Chlamydial conjunctivitis
A7481	18	865-866	Chlamydial peritonitis
A7489	18	865-866	Other chlamydial diseases
A749	18	865-866	"Chlamydial infection, unspecified"
A750	18	867-869	Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751	18	867-869	Recrudescent typhus [Brill's disease]
A752	18	867-869	Typhus fever due to Rickettsia typhi
A753	18	867-869	Typhus fever due to Rickettsia tsutsugamushi
A759	18	867-869	"Typhus fever, unspecified"
A770	18	867-869	Spotted fever due to Rickettsia rickettsii
A771	18	867-869	Spotted fever due to Rickettsia conorii
A772	18	867-869	Spotted fever due to Rickettsia siberica
A773	18	867-869	Spotted fever due to Rickettsia australis
A7740	18	867-869	"Ehrlichiosis, unspecified"
A7741	18	867-869	Ehrlichiosis chafeensis [E. chafeensis]
A7749	18	867-869	Other ehrlichiosis
A778	18	867-869	Other spotted fevers
A779	18	867-869	"Spotted fever, unspecified"
A78	18	867-869	Q fever
A790	18	867-869	Trench fever
A791	18	867-869	Rickettsialpox due to Rickettsia akari
A7981	18	867-869	Rickettsiosis due to Ehrlichia sennetsu
A7989	18	867-869	Other specified rickettsioses
A799	18	867-869	"Rickettsiosis, unspecified"
A800	1	023-027	"Acute paralytic poliomyelitis, vaccine-associated"
	1	097-099	
A801	1	023-027	"Acute paralytic poliomyelitis, wild virus, imported"
	1	097-099	
A802	1	023-027	"Acute paralytic poliomyelitis, wild virus, indigenous"
	1	097-099	
A8030	1	023-027	"Acute paralytic poliomyelitis, unspecified"
	1	097-099	
A8039	1	023-027	Other acute paralytic poliomyelitis
	1	097-099	
A804	18	865-866	Acute nonparalytic poliomyelitis
A809	1	023-027	"Acute poliomyelitis, unspecified"
	1	097-099	
A8100	1	056-057	"Creutzfeldt-Jakob disease, unspecified"
A8101	1	056-057	Variant Creutzfeldt-Jakob disease
A8109	1	056-057	Other Creutzfeldt-Jakob disease
A811	1	056-057	Subacute sclerosing panencephalitis
	15	793	
A812	1	056-057	Progressive multifocal leukoencephalopathy
	25	974-976	
A8181	1	056-057	Kuru
A8182	1	056-057	Gerstmann-Sträussler-Scheinker syndrome
	25	974-976	
A8183	1	056-057	Fatal familial insomnia
	25	974-976	
A8189	1	056-057	Other atypical virus infections of central nervous system
	25	974-976	
